danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.748,0.749,8,-5.916,0,0.516,0.142,0.0,0.0713,0.659,90.09,audio_features,1cS0TgbR263ey9jn0MwD2s,spotify:track:1cS0TgbR263ey9jn0MwD2s,https://api.spotify.com/v1/tracks/1cS0TgbR263ey9jn0MwD2s,https://api.spotify.com/v1/audio-analysis/1cS0TgbR263ey9jn0MwD2s,221013,4
0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4
0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,7fa9MBXhVfQ8P8Df9OEbD8,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,235545,4
0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,audio_features,3Vo4wInECJQuz9BIBMOu8i,spotify:track:3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,217289,4
0.653,0.809,0,-4.057,1,0.0474,0.194,0.0,0.165,0.55,92.213,audio_features,5CLGzJsGqhCEECcpnFQA8x,spotify:track:5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x,210773,4
0.877,0.658,11,-6.055,0,0.132,0.163,0.0,0.108,0.693,123.999,audio_features,1rFMYAZxBoAKSzXI54brMu,spotify:track:1rFMYAZxBoAKSzXI54brMu,https://api.spotify.com/v1/tracks/1rFMYAZxBoAKSzXI54brMu,https://api.spotify.com/v1/audio-analysis/1rFMYAZxBoAKSzXI54brMu,213947,4
0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945,audio_features,6Qn5zhYkTa37e91HC1D7lb,spotify:track:6Qn5zhYkTa37e91HC1D7lb,https://api.spotify.com/v1/tracks/6Qn5zhYkTa37e91HC1D7lb,https://api.spotify.com/v1/audio-analysis/6Qn5zhYkTa37e91HC1D7lb,201240,4
0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,audio_features,1ZY1PqizIl78geGM4xWlEA,spotify:track:1ZY1PqizIl78geGM4xWlEA,https://api.spotify.com/v1/tracks/1ZY1PqizIl78geGM4xWlEA,https://api.spotify.com/v1/audio-analysis/1ZY1PqizIl78geGM4xWlEA,209680,4
0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,audio_features,6wmAHw1szh5RCKSRjiXhPe,spotify:track:6wmAHw1szh5RCKSRjiXhPe,https://api.spotify.com/v1/tracks/6wmAHw1szh5RCKSRjiXhPe,https://api.spotify.com/v1/audio-analysis/6wmAHw1szh5RCKSRjiXhPe,200853,4
0.489,0.588,1,-6.177,1,0.0507,0.0285,2.11e-06,0.0906,0.187,113.617,audio_features,0Qh38w01QRXK6KHIv0e3hb,spotify:track:0Qh38w01QRXK6KHIv0e3hb,https://api.spotify.com/v1/tracks/0Qh38w01QRXK6KHIv0e3hb,https://api.spotify.com/v1/audio-analysis/0Qh38w01QRXK6KHIv0e3hb,269600,4
